training/bce,training/bsd,step,epoch,training/loss,validation/bce,validation/bsd,validation/loss
0.6512077450752258,0.9974380135536194,49,0,0.7550768256187439,,,
0.5880692005157471,0.9729320406913757,99,0,0.7035280466079712,,,
,,130,0,,0.5357366800308228,0.9910999536514282,0.6723456382751465
0.5095998048782349,0.9889001846313477,149,1,0.6533899307250977,,,
0.4153898358345032,0.9981826543807983,199,1,0.5902277231216431,,,
0.3139272928237915,0.9814183712005615,249,1,0.5141746401786804,,,
,,261,1,,0.2660834789276123,0.9913153052330017,0.4836530089378357
0.19870874285697937,0.9997556209564209,299,2,0.43902280926704407,,,
0.13700278103351593,0.9946315288543701,349,2,0.39429140090942383,,,
,,392,2,,0.10232648253440857,0.9915656447410583,0.3690982162952423
0.09464533627033234,0.9974713325500488,399,3,0.36549314856529236,,,
0.07366437464952469,0.9934295415878296,449,3,0.3495939373970032,,,
0.061814919114112854,0.9878692030906677,499,3,0.33963119983673096,,,
,,523,3,,0.05440011993050575,0.9907592535018921,0.3353078067302704
0.10061575472354889,0.9646780490875244,549,4,0.3598344624042511,,,
0.03676075115799904,0.9939974546432495,599,4,0.3239317536354065,,,
0.02335020899772644,0.9995766282081604,649,4,0.31621813774108887,,,
,,654,4,,0.035870831459760666,0.9894534945487976,0.3219456672668457
0.021107424050569534,0.9973317980766296,699,5,0.3139747381210327,,,
0.016438057646155357,0.9978131651878357,749,5,0.3108506202697754,,,
,,785,5,,0.030096082016825676,0.9890052676200867,0.31776881217956543
0.041516780853271484,0.9823368191719055,799,6,0.32376280426979065,,,
0.011230789124965668,0.9993310570716858,849,6,0.30766087770462036,,,
0.019166801124811172,0.9921454787254333,899,6,0.31106042861938477,,,
,,916,6,,0.02673199400305748,0.9895035624504089,0.31556352972984314
0.01412518136203289,0.9967654943466187,949,7,0.3089172840118408,,,
0.022401288151741028,0.9846401810646057,999,7,0.31107297539711,,,
,,1047,7,,0.024484844878315926,0.988936185836792,0.3138203024864197
0.018648499622941017,0.989936113357544,1049,8,0.3100348114967346,,,
0.013630311004817486,0.9935028553009033,1099,8,0.30759209394454956,,,
0.006592836696654558,0.9993008971214294,1149,8,0.3044052720069885,,,
,,1178,8,,0.024098964408040047,0.9885045289993286,0.31342068314552307
0.03117561712861061,0.9832620620727539,1199,9,0.3168015480041504,,,
0.00851777009665966,0.9978011846542358,1249,9,0.30530279874801636,,,
0.00928079430013895,0.9939889311790466,1299,9,0.3046932518482208,,,
,,1309,9,,0.023533551022410393,0.9883204102516174,0.3129695951938629
0.01747025176882744,0.9873754978179932,1349,10,0.3084418475627899,,,
0.021184293553233147,0.9829823970794678,1399,10,0.30972373485565186,,,
,,1440,10,,0.023152178153395653,0.9862092137336731,0.3120693266391754
0.014188824221491814,0.9871417284011841,1449,11,0.30607470870018005,,,
0.018713969737291336,0.9841286540031433,1499,11,0.3083384037017822,,,
0.007023346610367298,0.9942583441734314,1549,11,0.3031938672065735,,,
,,1571,11,,0.022050993517041206,0.9798389673233032,0.30938732624053955
0.03220732510089874,0.9494637846946716,1599,12,0.30738428235054016,,,
0.024808768182992935,0.9138655662536621,1649,12,0.29152581095695496,,,
0.024152375757694244,0.9075141549110413,1699,12,0.28916090726852417,,,
,,1702,12,,0.020703671500086784,0.9437028765678406,0.29760345816612244
0.014444930478930473,0.9633366465568542,1749,13,0.299112468957901,,,
0.021381832659244537,0.869024395942688,1799,13,0.27567461133003235,,,
,,1833,13,,0.01916484162211418,0.9227014780044556,0.2902258634567261
0.007990628480911255,0.948874294757843,1849,14,0.29025575518608093,,,
0.008989507332444191,0.9972097873687744,1899,14,0.30545559525489807,,,
0.03323187306523323,0.9012362957000732,1949,14,0.29363322257995605,,,
,,1964,14,,0.02067522518336773,0.8681588768959045,0.2749203145503998
0.0016870475374162197,0.9757266640663147,1999,15,0.29389896988868713,,,
0.016316408291459084,0.8611816167831421,2049,15,0.26977595686912537,,,
,,2095,15,,0.03732023388147354,0.8581042885780334,0.28355541825294495
0.016368919983506203,0.7327570915222168,2099,16,0.23128537833690643,,,
0.0303813349455595,0.8068500757217407,2149,16,0.26332196593284607,,,
0.02059757523238659,0.9489209055900574,2199,16,0.2990945875644684,,,
,,2226,16,,0.021434616297483444,0.8551526665687561,0.2715500593185425
0.012590951286256313,0.8103329539299011,2249,17,0.25191357731819153,,,
0.006263579707592726,0.6754052042961121,2299,17,0.2070060670375824,,,
0.009007132612168789,0.6535969972610474,2349,17,0.2023840993642807,,,
,,2357,17,,0.02342982403934002,0.779930591583252,0.2503800690174103
0.012380694970488548,0.8260213136672974,2399,18,0.2564728856086731,,,
0.0031489883549511433,0.9967833161354065,2449,18,0.3012393116950989,,,
,,2488,18,,0.021450554952025414,0.7797046303749084,0.2489268183708191
